1155225,3003128516,"Millstone Medical Outsourcing, LLC",10/22/2021,Devices,21 CFR 820.100(a),Lack of or inadequate procedures,Procedures for corrective and preventive action have not been adequately established.
1136295,3012227716,PRECIPART CORPORATION,02/25/2021,Devices,21 CFR 803.17,Lack of Written MDR Procedures,Written MDR procedures have not been maintained.
1136341,3015369099,TYSON FOOD TRADING INC,02/25/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1136484,1000251214,Toyobo Co. Ltd.,02/25/2021,Drugs,21 CFR 211.22(d),"Procedures not  in writing, fully followed",The responsibilities and procedures applicable to the quality control unit are not in writing and fully followed.
1136484,1000251214,Toyobo Co. Ltd.,02/25/2021,Drugs,21 CFR 211.25(a),"Training--operations, GMPs, written procedures",Employees are not given training in the particular operations they perform as part of their function and current good manufacturing practices.
1136484,1000251214,Toyobo Co. Ltd.,02/25/2021,Drugs,21 CFR 211.28(b),Habits of good sanitation & health,Production personnel were not practicing good sanitation and health habits.
1136484,1000251214,Toyobo Co. Ltd.,02/25/2021,Drugs,21 CFR 211.42(c)(10)(iv),Environmental Monitoring System,Aseptic processing areas are deficient regarding the system for monitoring environmental conditions.
1136484,1000251214,Toyobo Co. Ltd.,02/25/2021,Drugs,21 CFR 211.68(b),Computer control of master formula records,Appropriate controls are not exercised over computers or related systems to assure that changes in master production and control records or other records are instituted only by authorized personnel.
1136484,1000251214,Toyobo Co. Ltd.,02/25/2021,Drugs,21 CFR 211.100(b),SOPs not followed / documented,Written production and process control procedures are not followed in the execution of production and process control functions.
1136484,1000251214,Toyobo Co. Ltd.,02/25/2021,Drugs,21 CFR 211.188(b)(4),Weights and measures of components used,Batch production and control records do not include the weights and measures of components used in the course of processing each batch of drug product produced.
1136484,1000251214,Toyobo Co. Ltd.,02/25/2021,Drugs,21 CFR 211.192,"Investigations of discrepancies, failures",There is a failure to thoroughly review any unexplained discrepancy whether or not the batch has been already distributed.
1136484,1000251214,Toyobo Co. Ltd.,02/25/2021,Drugs,21 CFR 211.192,Written record of investigation incomplete,Written records of investigations into unexplained discrepancies do not include the conclusions and follow-up.
1136484,1000251214,Toyobo Co. Ltd.,02/25/2021,Drugs,21 CFR 211.194(a),Complete test data included in records,"Laboratory records do not include complete data derived from all tests, examinations and assay necessary to assure compliance with established specifications and standards."
1136484,1000251214,Toyobo Co. Ltd.,02/25/2021,Drugs,21 CFR 211.194(a)(2),Suitability of testing methods verified,The suitability of all testing methods is not verified under actual conditions of use.
1136586,3001452589,"Modesto Food Distributors dba Onorato & Company, Inc.",02/25/2021,Part 11 Compliance,n/a,Procedural requirements,Deviation from the procedural requirements of a decree of injunction.
1135929,3009219712,"Sanchez Food Sales of Mayaguez, Inc.",02/24/2021,Foods,21 CFR 117.93,Storage and Transportation,"You did not store or transport food, including ingredients, under conditions that protect against allergen cross-contact, contamination, deterioration and adulteration."
1135935,3007497109,Fil-Bay Import,02/24/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1135935,3007497109,Fil-Bay Import,02/24/2021,Veterinary Medicine,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1135938,3009141436,Best Import Export Corporation,02/24/2021,Foods,21 CFR 1.225,Not registered,Your food facility is not registered as required.
1135938,3009141436,Best Import Export Corporation,02/24/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1135953,3014250073,PARADISE SWEETS & BAKERY LLC,02/24/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1135956,3013492413,Pak-Star Asian Commodities LLC,02/24/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1135966,3012786060,IDC USA INC,02/24/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1135985,3009436143,Zomick's Food Products Ltd.,02/24/2021,Foods,21 CFR 117.10,Personnel,You did not take a reasonable measure and precaution related to personnel practices.
1135985,3009436143,Zomick's Food Products Ltd.,02/24/2021,Foods,21 CFR 117.35(d),Sanitation of food contact surfaces - frequency,You did not clean and sanitize your utensils or equipment as frequently as necessary to protect against allergen cross-contact.
1135985,3009436143,Zomick's Food Products Ltd.,02/24/2021,Foods,21 CFR 117.80(c),"Manufacturing, Processing, Packing, Holding - Controls",You did not conduct operations under conditions and controls necessary to minimize the potential for allergen cross-contact and contamination of food.
1136000,3011940303,New York Blood Center Inc,02/24/2021,Biologics,21 CFR 606.60(b),Equipment calibration frequency,"Equipment used in the collection of blood and blood components is not observed, standardized and calibrated with at least the frequency required."
1136000,3011940303,New York Blood Center Inc,02/24/2021,Biologics,21 CFR 606.100(b),"Establish, maintain and follow manufacturing SOPs","Written standard operating procedures including all steps to be followed in the collection of blood and blood components for allogeneic transfusion were not always established, maintained and followed."
1136000,3011940303,New York Blood Center Inc,02/24/2021,Biologics,21 CFR 606.100(b),Written SOPs available for use by personnel,Failure to make available written procedures for use by personnel in the areas where the procedures are performed.
1136107,3003590456,Harvest Moon Baking Company,02/24/2021,Foods,21 CFR 117.20(b),Plant Construction and Design,Your plant was not constructed to facilitate maintenance and sanitary operations.
1136107,3003590456,Harvest Moon Baking Company,02/24/2021,Foods,21 CFR 117.40,Equipment and Utensils - Design and Maintenance,Your equipment and utensils were not designed and constructed to be adequately cleaned or maintained to protect against allergen cross-contact and contamination.
1136163,3008505196,Verde Valle Foods Inc,02/24/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1135849,1310093,"Midwestern Pet Food, Inc.",02/23/2021,Veterinary Medicine,21 CFR 507.34(a)(1),Preventive Controls,You did not identify and implement preventive controls to ensure that any hazards requiring a preventive control are significantly minimized or prevented.
1135849,1310093,"Midwestern Pet Food, Inc.",02/23/2021,Veterinary Medicine,21 CFR 507.47(b),Validation Requirements for Preventive Controls,Your preventive control validation was not based on scientific evidence.
1135849,1310093,"Midwestern Pet Food, Inc.",02/23/2021,Veterinary Medicine,21 CFR 507.49(a)(3),Environmental Monitoring,You did not verify that your preventive control(s) are consistently implemented and effective through environmental monitoring.
1135850,3003533984,Pero Family Farms Food Company LLC,02/23/2021,Foods,21 CFR 117.20(b),Plant Construction and Design,Your plant was not constructed to facilitate maintenance and sanitary operations.
1135886,3015365619,EPICERIE DE FRANCE CORP.,02/23/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1135919,3003119357,Superior Sales Inc,02/23/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1135937,3004330103,Pepsico Caribbean Inc.,02/23/2021,Foods,21 CFR 1.504(d),Review entity's hazard analysis,You did not review and assess the hazard analysis conducted by another entity.
1135937,3004330103,Pepsico Caribbean Inc.,02/23/2021,Foods,21 CFR 1.505(b),Supplier approval - document,You did not document that you approved a foreign supplier based on an evaluation that you conducted of the foreign supplier's performance and the risk posed by a food or based on a review and assessment of another entity's evaluation of a foreign supplier's performance and the risk posed by a food.
1135942,1317188,Graphic Controls Acquisition Corporation,02/23/2021,Devices,21 CFR 803.50(a)(1),Report of Death or Serious Injury,An MDR report was not submitted within 30 days of receiving or otherwise becoming aware of information that reasonably suggests that a marketed device may have caused or contributed to a death or serious injury.
1135942,1317188,Graphic Controls Acquisition Corporation,02/23/2021,Devices,21 CFR 820.20(c),Management review - Lack of or inadequate procedures,Procedures for management review have not been adequately established.
1135942,1317188,Graphic Controls Acquisition Corporation,02/23/2021,Devices,21 CFR 820.50,"Purchasing controls, Lack of or inadequate procedures",Procedures to ensure that all purchased or otherwise received product and services conform to specified requirements have not been adequately established.
1135942,1317188,Graphic Controls Acquisition Corporation,02/23/2021,Devices,21 CFR 820.100(a),Lack of or inadequate procedures,Procedures for corrective and preventive action have not been adequately established.
1136032,3005921469,PINEX TRADING CORPORATION,02/23/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1136032,3005921469,PINEX TRADING CORPORATION,02/23/2021,Foods,21 CFR 1.505(b),Supplier approval - document,You did not document that you approved a foreign supplier based on an evaluation that you conducted of the foreign supplier's performance and the risk posed by a food or based on a review and assessment of another entity's evaluation of a foreign supplier's performance and the risk posed by a food.
1136032,3005921469,PINEX TRADING CORPORATION,02/23/2021,Foods,21 CFR 1.506(a)(1),Unapproved supplier procedures - importer established,You did not establish written procedures for importing a food on a temporary basis from an unapproved foreign supplier.
1136093,3012047244,Germinados Campo Verde,02/23/2021,Foods,21 CFR 117.35(b)(1),Cleaning and sanitizing substances- safe and adequate,You did not ensure that your cleaning compounds and sanitizing agents are safe and adequate under the conditions of use.
1136093,3012047244,Germinados Campo Verde,02/23/2021,Foods,21 CFR 117.40(f),Instruments and Controls,Your instruments and controls were not adequately maintained.
1135910,1000513547,"Rhino Foods, Inc.",02/22/2021,Foods,21 CFR 117.150(a)(1),Allergen Controls Corrective Action Proced: Estab Implement,You did not establish adequate written corrective action procedures for allergen controls.
1135910,1000513547,"Rhino Foods, Inc.",02/22/2021,Foods,21 CFR 117.150(a)(1),Sanitation Controls Corrective Action Proced: Estab Implemnt,You did not establish adequate written corrective action procedures for sanitation controls.
1135910,1000513547,"Rhino Foods, Inc.",02/22/2021,Foods,21 CFR 117.165(b),Sanitation Controls Verif Procedures: Establish Implement,You did not establish and implement adequate written sanitation controls verification procedures for product testing and environmental monitoring.
1136078,3008894479,Saratoga Potato Chips LLC,02/22/2021,Foods,21 CFR 117.145(a),Allergen Controls Monitoring Proced: Establish Implement,You did not establish and implement adequate written procedures for monitoring allergen controls.
1136164,2082583,"Drew J. Winston, MD",02/22/2021,Bioresearch Monitoring,21 CFR 312.64(b),Safety reports,"Failure to report to the sponsor adverse effects that may reasonably be regarded as caused by, or probably caused by, an investigational drug."
1135180,3011975998,Chatime Usa Llc,02/19/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1135648,3002902258,Avalos Produce,02/19/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1135761,3010956214,Cargill Meat Solutions Corp,02/19/2021,Veterinary Medicine,21 CFR 507.22(b),Processing Systems,Your processing system is not designed and maintained in a way that protects against the contamination of animal food.
1135778,3011598824,Jade Organics Food Importers Llc,02/19/2021,Foods,21 CFR 1.512(b)(1)(i)(A),Definition very small importer,"You chose to comply with the requirements for a very small importer, but you did not document that you meet the definition of a very small importer."
1135779,3016988711,FERRER TRADICIONAL USA LLC,02/19/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1135788,3015476256,HAPPY BEAR LLC,02/19/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1135789,3010879840,Nasiha Cash & Carry Inc.,02/19/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1135798,3011602433,Gc Distribution Services Llc,02/19/2021,Foods,21 CFR 1.504(a),Hazard analysis written,You did not have a written hazard analysis to identify and evaluate known or reasonably foreseeable hazards.
1135798,3011602433,Gc Distribution Services Llc,02/19/2021,Veterinary Medicine,21 CFR 1.506(a)(1),Approved supplier procedures - importer established,You did not establish written procedures to ensure that you import foods only from approved foreign suppliers.
1135798,3011602433,Gc Distribution Services Llc,02/19/2021,Veterinary Medicine,21 CFR 1.506(b),Supplier verification - establish written procedures,You did not establish adequate written procedures for ensuring that appropriate foreign supplier verification activities are conducted with respect to a food you import.
1135798,3011602433,Gc Distribution Services Llc,02/19/2021,Foods,21 CFR 1.506(d)(1)(i),Verification activity assurance,You did not determine and document which verification activity or activities were needed to provide adequate assurances that a food you obtain from a foreign supplier is produced in compliance with processes and procedures that provide the required level of public health protection.
1135798,3011602433,Gc Distribution Services Llc,02/19/2021,Foods,21 CFR 1.506(e)(1),"Verification activity before import, periodically",You did not conduct and document or obtain documentation of one or more supplier verification activities before importing the food into the United States.
1135798,3011602433,Gc Distribution Services Llc,02/19/2021,Foods,21 CFR 1.510(a)(2),"Record - sign, date",You did not sign an FSVP record upon initial completion and upon modification.
1135799,3003588086,7333 LLC,02/19/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1135800,3012417703,FRUIT TREASURE INC,02/19/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1135810,1000277129,Advanced Fresh Concepts Corp,02/19/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1135810,1000277129,Advanced Fresh Concepts Corp,02/19/2021,Foods,21 CFR 1.502(b)(1),LACF compliance,"For a low-acid canned food, you did not verify and document that the food was produced according to the low-acid canned foods regulations."
1135874,3011556474,"Heartland New York, Inc",02/19/2021,Foods,21 CFR 1.512(b)(3)(i),"Very small importer assurances, supplier","As a very small importer, you did not obtain written assurance, before importing a food and every 2 years after initially importing a food, that your foreign supplier produced the food in compliance with process and procedures that provide the required level of public health protection."
1135957,1000125449,"Sovereign Seafoods, Inc. dba Harbor Meat & Seafood",02/19/2021,Foods,21 CFR 117.80(c),"Manufacturing, Processing, Packing, Holding - Controls",You did not conduct operations under conditions and controls necessary to minimize the potential for allergen cross-contact and contamination of food.
1135957,1000125449,"Sovereign Seafoods, Inc. dba Harbor Meat & Seafood",02/19/2021,Foods,21 CFR 123.6(b),HACCP plan implementation,You did not implement the monitoring and verification procedures listed in your HACCP plan.
1135957,1000125449,"Sovereign Seafoods, Inc. dba Harbor Meat & Seafood",02/19/2021,Foods,21 CFR 123.6(c)(1),Food safety hazards,Your HACCP plan does not list the food safety hazards that are reasonably likely to occur.
1135957,1000125449,"Sovereign Seafoods, Inc. dba Harbor Meat & Seafood",02/19/2021,Foods,21 CFR 123.6(c)(4),Monitoring - adequacy,Your HACCP plan lists monitoring procedures that do not ensure compliance with the critical limit.
1135957,1000125449,"Sovereign Seafoods, Inc. dba Harbor Meat & Seafood",02/19/2021,Foods,21 CFR 123.7(a),Corrective action per predetermined plan,You did not take corrective action that ensured affected product was not entered into commerce and the cause of the deviation was corrected.
1135957,1000125449,"Sovereign Seafoods, Inc. dba Harbor Meat & Seafood",02/19/2021,Foods,21 CFR 123.11(b),Sanitation monitoring documentation,Your sanitation control records do not accurately document the conditions or practices observed at your firm.
1135716,3004382119,"Panamerican Properties, Corp.",02/18/2021,Foods,21 CFR 120.8(b)(3),HACCP plan - critical limits not listed or not adequate,Your HACCP plan does not list one or more of the critical limits that must be met at each critical control point.
1135716,3004382119,"Panamerican Properties, Corp.",02/18/2021,Foods,21 CFR 120.11(a)(1),Verification activities - minimum,"Your verification activities do not include, at a minimum, review of consumer complaints to determine whether they relate to the performance of the HACCP plan, calibration of process monitoring instruments and review of critical control point monitoring, corrective action, and calibration records to ensure that your HACCP system is being properly implemented."
1135736,3013060745,BEUKENHORST COFFEE USA INC,02/18/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1135742,3005311531,Reliance Service,02/18/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1135786,3012417803,Marimba Produce LLC.,02/18/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1136344,3003028377,Poultry Products of Connecticut,02/18/2021,Foods,21 CFR 123.6(b),HACCP plan implementation,You did not implement the monitoring and recordkeeping procedures listed in your HACCP plan.
1136344,3003028377,Poultry Products of Connecticut,02/18/2021,Foods,21 CFR 123.6(c)(4),Monitoring - adequacy,Your HACCP plan lists monitoring procedures and frequencies that do not ensure compliance with the critical limit.
1136344,3003028377,Poultry Products of Connecticut,02/18/2021,Foods,21 CFR 123.6(d),Signed and dated,Your HACCP plan was not signed and dated at least annually.
1136344,3003028377,Poultry Products of Connecticut,02/18/2021,Foods,21 CFR 123.8(a)(3),Verification - record review - frequency,You did not review some of your critical control point monitoring records within one week after the records were made.
1135660,3007102985,La Crema de Coco,02/17/2021,Foods,21 CFR 117.40,Equipment and Utensils - Design and Maintenance,Your equipment and utensils were not designed and constructed to be adequately cleaned or maintained to protect against contamination.
1135660,3007102985,La Crema de Coco,02/17/2021,Foods,21 CFR 117.80(c),"Manufacturing, Processing, Packing, Holding - Controls",You did not conduct operations under conditions and controls necessary to minimize the potential for growth of microorganisms and contamination of food.
1135660,3007102985,La Crema de Coco,02/17/2021,Foods,21 CFR 117.93,Storage and Transportation,"You did not store or transport food, including ingredients, under conditions that protect against contamination, deterioration and adulteration."
1135700,3008320811,"Tarla Distributors, Inc.",02/17/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1135906,1219733,"BAKE'N JOY FOODS, INC.",02/17/2021,Foods,21 CFR 117.135(a)(1),Preventive Controls -  Identify,You did not identify a preventive control for a hazard when one was needed.
1135906,1219733,"BAKE'N JOY FOODS, INC.",02/17/2021,Foods,21 CFR 117.145(a),Other Controls Monitoring Procedures - Establish Implement,You did not establish adequate written procedures for monitoring your controls.
1135622,3010738392,INTERNATIONAL GROCERS OF AMERICA,02/16/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1135622,3010738392,INTERNATIONAL GROCERS OF AMERICA,02/16/2021,Foods,21 CFR 1.506(e)(1),"Verification activity before import, periodically",You did not conduct and document or obtain documentation of one or more supplier verification activities before importing the food into the United States and periodically after importing the food into the United States.
1135629,3013545842,VHRK FOOD INC,02/16/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1135641,1832140,"Martin's Super Markets, Inc.",02/16/2021,Veterinary Medicine,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1135644,3003295752,Agroson's LLC,02/16/2021,Foods,21 CFR 1.506(d)(2),Onsite audit,"For a food that may contain a hazard that will be controlled by the foreign supplier and is one for which there is a reasonable probability that exposure to the hazard will result in serious adverse health consequences or death to humans or animals, you did not conduct and document or obtain documentation of an onsite audit of the foreign supplier."
1135644,3003295752,Agroson's LLC,02/16/2021,Foods,21 CFR 1.510(b)(1),Record - translate to English,You did not provide an English translation of an FSVP record that you maintained in a language other than English.
1135645,3004640875,Teuscher Promenade LLC,02/16/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1136073,3005434257,Diamond Rock Food Imports Inc.,02/16/2021,Foods,21 CFR 1.506(c),Supplier verification assurance,Your foreign supplier verification activities did not provide assurance that the hazards requiring a control in the food you import have been significantly minimized or prevented.
1136073,3005434257,Diamond Rock Food Imports Inc.,02/16/2021,Foods,21 CFR 1.506(e)(1),"Verification activity before import, periodically",You did not conduct and document or obtain documentation of one or more supplier verification activities.
1135577,3012599855,FARMERS IMPORTS LLC,02/12/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1135584,3008361969,American Tuna,02/12/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1135590,3010593153,"Valores Alimenticios of America, Inc",02/12/2021,Foods,21 CFR 1.505(a)(2),"Evaluation - performance, risk",You did not document that you conducted an evaluation or reviewed and assessed an evaluation conducted by another entity to determine a foreign supplier's performance and the risk posed by a food.
1135590,3010593153,"Valores Alimenticios of America, Inc",02/12/2021,Foods,21 CFR 1.506(b),Supplier verification - establish written procedures,You did not establish adequate written procedures for ensuring that appropriate foreign supplier verification activities are conducted with respect to a food you import.
1135590,3010593153,"Valores Alimenticios of America, Inc",02/12/2021,Foods,21 CFR 1.506(d)(1)(i),Verification activity frequency,You did not determine and document the frequency of conducting the verification activities to provide adequate assurances that a food you obtain from a foreign supplier is produced in compliance with processes and procedures that provide the required level of public health protection.
1135590,3010593153,"Valores Alimenticios of America, Inc",02/12/2021,Foods,21 CFR 1.506(d)(1)(ii),Verification activity - appropriate,You did not conduct an appropriate supplier verification activity.
1135590,3010593153,"Valores Alimenticios of America, Inc",02/12/2021,Foods,21 CFR 1.506(e)(1),"Verification activity before import, periodically",You did not conduct and document or obtain documentation of one or more supplier verification activities before importing the food into the United States.
1135594,3017666994,"Sagar Sardesai, M.D.",02/12/2021,Bioresearch Monitoring,21 CFR 312.64(b),Safety reports,"Failure to report promptly to the sponsor adverse effects that may reasonably be regarded as caused by, or probably caused by, an investigational drug."
1135528,3014093189,SERRV INTERNATIONAL INC,02/11/2021,Veterinary Medicine,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1135546,3013131470,IMPORTS DIRECT INC. DBA Mercato Food Inc.,02/11/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1135573,3015351390,CHACA MEXICAN IMPORTS LLC,02/11/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1135573,3015351390,CHACA MEXICAN IMPORTS LLC,02/11/2021,Foods,21 CFR 1.504(b)(1),"Hazard analysis biological, chemical, physical",Your hazard analysis did not include a known or reasonably foreseeable physical hazard that requires a control.
1135573,3015351390,CHACA MEXICAN IMPORTS LLC,02/11/2021,Foods,21 CFR 1.505(b),Supplier approval - document,You did not document that you approved a foreign supplier based on an evaluation that you conducted of the foreign supplier's performance and the risk posed by a food or based on a review and assessment of another entity's evaluation of a foreign supplier's performance and the risk posed by a food.
1135589,3014837238,ZULAND DISTRIBUTOR CORP,02/11/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1135619,3006195306,"Russ Davis Wholesale, LLC",02/11/2021,Foods,21 CFR 117.80(a),Plant Operations - precautions,You did not conduct operations in accordance with adequate sanitation principles and take adequate precautions to ensure that production procedures did not contribute to allergen cross-contact and to contamination.
1135699,3005351861,Utah Cord Bank LLC,02/11/2021,Drugs,21 CFR 211.42(c)(10)(iv),Environmental Monitoring System,Aseptic processing areas are deficient regarding the system for monitoring environmental conditions.
1135699,3005351861,Utah Cord Bank LLC,02/11/2021,Drugs,21 CFR 211.67(b),Written procedures not established/followed,"Written procedures are not followed for the cleaning and maintenance of equipment, including utensils, used in the manufacture, processing, packing or holding of a drug product."
1135699,3005351861,Utah Cord Bank LLC,02/11/2021,Drugs,21 CFR 211.80(a),Procedures To Be in Writing,"Written procedures are lacking which describe in sufficient detail the receipt, identification, storage, handling, sampling, testing, approval and rejection of components, drug product containers and closures."
1135699,3005351861,Utah Cord Bank LLC,02/11/2021,Drugs,21 CFR 211.100(a),Absence of Written Procedures,"There are no written procedures for production and process controls designed to assure that the drug products have the identity, strength, quality, and purity they purport or are represented to possess."
1135699,3005351861,Utah Cord Bank LLC,02/11/2021,Drugs,21 CFR 211.111,Establishment of time limitations,Time limits are not established when appropriate  for the completion of each production phase to assure the quality of the drug product.
1135699,3005351861,Utah Cord Bank LLC,02/11/2021,Drugs,21 CFR 211.113(b),Validation lacking for sterile drug products,Procedures designed to prevent microbiological contamination of drug products purporting to be sterile did not include adequate validation of the aseptic process.
1135699,3005351861,Utah Cord Bank LLC,02/11/2021,Drugs,21 CFR 211.130(c),Lot or control number assigned,The drug product is not identified with a lot or control number that permits the determination of the history of the manufacture and control of the batch.
1135699,3005351861,Utah Cord Bank LLC,02/11/2021,Drugs,21 CFR 211.160(b),Scientifically sound laboratory controls,"Laboratory controls do not include the establishment of scientifically sound and appropriate specifications designed to assure that components, drug product containers and closures conform to appropriate standards of identity, strength, quality and purity."
1135699,3005351861,Utah Cord Bank LLC,02/11/2021,Drugs,21 CFR 211.166(a),Lack of written stability program,There is no written testing program designed to assess the stability characteristics of drug products.
1135699,3005351861,Utah Cord Bank LLC,02/11/2021,Drugs,21 CFR 211.188,"Prepared for each batch, include complete information",Batch production and control records are not prepared for each batch of drug product produced and do not include complete information relating to the production and control of each batch.
1135699,3005351861,Utah Cord Bank LLC,02/11/2021,Drugs,21 CFR 211.192,"Investigations of discrepancies, failures",There is a failure to thoroughly review the failure of a batch or any of its components to meet any of its specifications whether or not the batch has been already distributed.
1135699,3005351861,Utah Cord Bank LLC,02/11/2021,Drugs,21 CFR 211.198(a),Complaint Handling Procedure,Procedures describing the handling of written and oral complaints related to drug products are deficiently written or followed.
1135699,3005351861,Utah Cord Bank LLC,02/11/2021,Human Tissue for Transplantation,21 CFR 1271.50(a),Determination based on screening and testing,HCT/P donors were not determined to be eligible based on the results of donor screening and testing.
1135699,3005351861,Utah Cord Bank LLC,02/11/2021,Human Tissue for Transplantation,21 CFR 1271.75(a)(1),"Risk factors, clinical evidence",Donors were not screened by a review of relevant medical records for risk factors and clinical evidence of communicable disease agents and diseases.
1135699,3005351861,Utah Cord Bank LLC,02/11/2021,Human Tissue for Transplantation,21 CFR 1271.85(a),Infection with communicable disease agents,Donors were not tested for evidence of infection with relevant communicable disease agents.
1135699,3005351861,Utah Cord Bank LLC,02/11/2021,Human Tissue for Transplantation,21 CFR 1271.160(d),Computer software verification,The performance of computer software has not been verified.
1135699,3005351861,Utah Cord Bank LLC,02/11/2021,Human Tissue for Transplantation,21 CFR 1271.180(a),Procedures to meet core CTGP,"Procedures appropriate to meet core CGTP requirements for all steps that you perform in the manufacture of HCT/Ps were not established, maintained and defined."
1135699,3005351861,Utah Cord Bank LLC,02/11/2021,Human Tissue for Transplantation,21 CFR 1271.230(a),Process validation procedures,Procedures to validate and approve processes that cannot be fully verified by inspection and tests were not established.
1135699,3005351861,Utah Cord Bank LLC,02/11/2021,Human Tissue for Transplantation,21 CFR 1271.270(b),"Management system, other records",Records pertinent to the manufacture of HCT/Ps were not maintained and organized under the records management system.
1135410,3009743073,Mex Supply Inc,02/10/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1135471,2412472,Acme Smoked Fish Corp.,02/10/2021,Foods,21 CFR 117.20(b),Plant Construction and Design,Your plant was not constructed and designed to facilitate maintenance and sanitary operations.
1135471,2412472,Acme Smoked Fish Corp.,02/10/2021,Foods,21 CFR 117.35(a),Sanitary Operations - Plant Maintenance,You did not maintain your plant in a clean and sanitary condition and keep your plant in repair.
1135471,2412472,Acme Smoked Fish Corp.,02/10/2021,Foods,21 CFR 117.35(e),Sanitation of non-food contact surfaces - frequency,You did not clean your non-food contact surface in a manner and as frequently as necessary to protect against contamination.
1135471,2412472,Acme Smoked Fish Corp.,02/10/2021,Foods,21 CFR 117.80(c),"Manufacturing, Processing, Packing, Holding - Controls",You did not conduct operations under conditions and controls necessary to minimize the potential for growth of microorganisms and contamination of food.
1135471,2412472,Acme Smoked Fish Corp.,02/10/2021,Foods,21 CFR 123.6(c)(1),Food safety hazards,Your HACCP plan does not list the food safety hazards that are reasonably likely to occur.
1135471,2412472,Acme Smoked Fish Corp.,02/10/2021,Foods,21 CFR 123.6(c)(2),Critical control points,Your HACCP plan does not list one or more critical control points that are necessary for each of the identified food safety hazards.
1135471,2412472,Acme Smoked Fish Corp.,02/10/2021,Foods,21 CFR 123.6(c)(6),Verification procedures - adequacy,"Your HACCP plan lists verification frequencies that have not been developed in accordance with 21 CFR 123.8(a) to ensure that your HACCP plan is adequate to control food safety hazards, and is being effectively implemented."
1135471,2412472,Acme Smoked Fish Corp.,02/10/2021,Foods,21 CFR 123.8(a)(3),Verification - record review - frequency,You did not review some of your critical control point monitoring records within one week after the records were made.
1135471,2412472,Acme Smoked Fish Corp.,02/10/2021,Foods,21 CFR 123.8(b),Verification - corrective action,You did not take immediate corrective action to ensure that the cause of the deviation was corrected when your verification procedure revealed the need to take a corrective action.
1135471,2412472,Acme Smoked Fish Corp.,02/10/2021,Foods,21 CFR 123.9(a),Records - content,"Your records do not include the signature or initials of the person performing the operation and identity of the product and the production code, if any. Electronic signatures based on are used, but they do not meet the requirements of 21 CFR Part 11."
1135471,2412472,Acme Smoked Fish Corp.,02/10/2021,Foods,21 CFR 123.11(b),Sanitation monitoring,You are not monitoring the sanitation conditions and practices with sufficient frequency to assure conformance with Current Good Manufacturing Practices including prevention of cross-contamination from insanitary objects.
1135485,3012089677,TESOROS TRADING CO.,02/10/2021,Foods,21 CFR 1.504(d),Document review entity's hazard analysis,You did not document that a hazard analysis conducted by another entity was conducted by a qualified individual.
